Unnamed: 0,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,37.0,7449.0,1011,2160,.468,710,1253,.567,301,907,.332,562,772,.728,409,1013,1422,586,198,135,517,633,2885
Rank,,,20th,29th,65th,36th,107th,24th,63rd,49th,226th,35th,29th,152nd,65th,9th,14th,24th,268th,76th,361st,333rd,20th
Opponent,37.0,7449.0,938,2340,.401,656,1425,.460,282,915,.308,486,665,.731,438,824,1262,423,270,93,417,686,2644
Rank,,,335th,359th,18th,315th,354th,23rd,297th,350th,33rd,261st,243rd,248th,359th,234th,337th,136th,344th,72nd,135th,9th,346th
