Season,Lg,Tm,Unnamed: 3,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,NBA,DET,,82,-0.9%,-1.7%,-4.4%,+.013,-16.1%,-19.2%,+.013,0.7%,-1.2%,+.009,-15.5%,-17.6%,+.019,-2.1%,-6.0%,-4.9%,-11.9%,-2.7%,-15.6%,-0.1%,-9.1%,-5.2%
2000-01,NBA,DET,,82,0.1%,-4.6%,2.1%,-.031,-6.6%,-0.4%,-.023,-4.2%,2.7%,-.033,-4.4%,-3.0%,-.010,4.0%,6.7%,5.9%,-1.7%,2.6%,0.3%,-9.0%,-7.1%,-4.7%
1999-00,NBA,DET,,82,64.6%,96.8%,84.3%,+.030,94.1%,80.9%,+.025,97.3%,85.1%,+.030,77.4%,69.9%,+.032,77.6%,81.8%,80.6%,81.5%,53.8%,76.0%,81.8%,99.4%,92.4%
1998-99,NBA,DET,,50,-39.6%,-44.2%,-42.9%,-.010,-35.0%,-38.0%,+.016,-45.5%,-44.0%,-.013,-39.3%,-36.6%,-.031,-44.7%,-41.0%,-42.1%,-40.5%,-34.6%,-41.1%,-39.0%,-40.6%,-42.7%
1997-98,NBA,DET,,82,0.6%,2.6%,2.3%,+.001,-31.2%,-23.1%,-.039,10.6%,9.9%,+.003,26.0%,24.5%,+.009,2.8%,3.1%,3.0%,-2.3%,32.8%,35.5%,5.7%,5.0%,4.1%
1996-97,NBA,DET,,82,0.0%,-2.1%,-2.3%,+.001,4.6%,3.6%,+.003,-3.5%,-3.9%,+.002,-15.7%,-18.2%,+.022,0.0%,-0.2%,-0.1%,3.8%,-12.2%,-26.8%,3.6%,-5.5%,-4.3%
1995-96,NBA,DET,,82,0.5%,-9.4%,-2.8%,-.032,12.7%,11.7%,+.003,-13.1%,-6.2%,-.037,-25.7%,-25.0%,-.007,-16.0%,-6.7%,-9.7%,-14.1%,-19.8%,-12.3%,-10.3%,8.1%,-12.0%
1994-95,NBA,DET,,82,0.0%,-4.1%,-4.7%,+.003,64.7%,51.7%,+.029,-10.4%,-12.2%,+.010,8.8%,11.0%,-.015,-3.7%,-6.1%,-5.3%,-4.0%,-3.9%,19.3%,10.0%,9.0%,0.7%
1993-94,NBA,DET,,82,-0.3%,-2.0%,-0.4%,-.008,4.2%,5.9%,-.005,-2.5%,-1.2%,-.007,23.4%,23.4%,+.000,8.4%,6.1%,6.8%,2.4%,15.7%,1.4%,-4.1%,-11.2%,2.6%
1992-93,NBA,DET,,82,0.0%,5.2%,-1.0%,+.028,23.7%,23.0%,+.002,3.9%,-3.3%,+.035,3.0%,6.5%,-.025,-1.4%,8.3%,5.1%,8.1%,-3.0%,-2.7%,9.1%,-5.8%,5.3%
1991-92,NBA,DET,,82,-0.1%,3.4%,3.4%,-.000,34.4%,24.0%,+.026,1.7%,1.7%,-.000,-15.1%,-14.1%,-.009,11.3%,-0.8%,2.9%,9.1%,10.5%,29.1%,-0.9%,-3.6%,0.1%
1990-91,NBA,DET,,82,0.0%,0.3%,-1.0%,+.006,-15.6%,-9.7%,-.022,1.4%,-0.2%,+.007,-6.2%,-7.2%,+.008,-3.7%,-0.3%,-1.4%,-1.6%,-4.1%,-4.9%,-9.7%,-4.1%,-1.5%
1989-90,NBA,DET,,82,-0.1%,-3.1%,-3.0%,-.000,17.7%,0.7%,+.048,-4.2%,-3.4%,-.004,-2.2%,0.7%,-.023,-8.0%,4.3%,0.1%,-4.9%,-6.2%,-10.9%,1.9%,-0.8%,-2.5%
1988-89,NBA,DET,,82,0.3%,-5.8%,-1.6%,-.020,38.6%,40.6%,-.004,-7.4%,-4.0%,-.017,4.3%,1.2%,+.023,-1.1%,-3.9%,-3.0%,-5.5%,-0.5%,-16.0%,-7.8%,-3.5%,-3.2%
1987-88,NBA,DET,,82,-0.3%,-1.2%,-2.4%,+.005,-14.3%,-6.0%,-.028,-0.7%,-2.1%,+.007,-10.3%,-11.9%,+.014,0.1%,-2.7%,-1.8%,-3.2%,-3.1%,-14.0%,2.6%,4.7%,-3.4%
1986-87,NBA,DET,,82,0.3%,-6.7%,-0.8%,-.029,87.3%,62.4%,+.042,-8.6%,-3.1%,-.029,-0.3%,0.7%,-.007,-3.1%,-7.8%,-6.3%,-2.6%,1.2%,-5.6%,-13.2%,4.6%,-4.7%
1985-86,NBA,DET,,82,-0.3%,-2.2%,-1.2%,-.005,-9.0%,3.6%,-.038,-2.0%,-1.4%,-.003,7.1%,7.7%,-.004,6.4%,-1.0%,1.3%,-1.1%,3.1%,-1.6%,0.3%,-2.0%,-0.4%
Season,Lg,Tm,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,NBA,DET,,82,-0.4%,1.2%,1.2%,-.000,47.2%,23.3%,+.051,0.5%,0.6%,-.000,-5.9%,-6.7%,+.006,-4.6%,4.3%,1.4%,-3.9%,3.4%,-3.6%,0.4%,-7.8%,-0.0%
1983-84,NBA,DET,,82,0.1%,-3.8%,-4.0%,+.001,152.4%,11.0%,+.147,-4.7%,-4.4%,-.001,17.9%,12.7%,+.033,-8.1%,-5.3%,-6.2%,-2.6%,-18.4%,-6.1%,-6.3%,-6.0%,0.4%
1982-83,NBA,DET,,82,0.3%,1.4%,4.3%,-.014,-48.8%,4.0%,-.119,2.0%,4.3%,-.012,-0.1%,3.4%,-.025,9.2%,6.6%,7.4%,2.8%,-2.7%,-3.4%,-3.5%,-2.4%,0.9%
1981-82,NBA,DET,,82,0.4%,7.1%,7.2%,-.000,32.3%,37.8%,-.010,6.9%,6.6%,+.002,-0.9%,-0.3%,-.005,6.3%,1.6%,3.1%,7.8%,-1.4%,-0.7%,-8.9%,13.7%,5.7%
