Season,Lg,Tm,Unnamed: 3,Age,Ht.,Wt.,Unnamed: 7,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,NBA,DET,,1.8%,0.1%,-1.4%,,82,0.9%,3.8%,1.7%,+.009,9.0%,8.8%,+.001,3.1%,0.4%,+.012,1.7%,3.7%,-.014,3.9%,0.6%,1.6%,5.0%,-12.6%,-12.8%,-8.7%,-1.6%,3.6%
2003-04,NBA,DET,,-5.5%,0.4%,-0.5%,,82,-0.6%,1.7%,0.6%,+.005,-37.5%,-34.9%,-.014,11.4%,11.6%,-.001,0.1%,2.6%,-.019,14.8%,1.9%,5.3%,5.1%,18.5%,21.8%,12.4%,-4.8%,-1.4%
2002-03,NBA,DET,,-1.7%,0.6%,0.5%,,82,1.1%,-5.1%,-0.4%,-.021,-6.0%,-1.4%,-.018,-4.9%,-0.0%,-.023,5.5%,3.4%,+.015,9.0%,3.3%,4.8%,-8.2%,-14.2%,-17.2%,-7.5%,3.1%,-3.1%
2001-02,NBA,DET,,8.9%,0.1%,0.5%,,82,-0.9%,-2.5%,-8.4%,+.027,45.8%,35.7%,+.026,-10.0%,-16.9%,+.037,-8.2%,-12.5%,+.035,-26.9%,-9.9%,-14.9%,8.3%,5.7%,26.4%,-8.5%,-13.3%,-1.3%
2000-01,NBA,DET,,-4.2%,-1.1%,0.0%,,82,0.1%,-4.1%,3.7%,-.035,-11.4%,-9.1%,-.009,-2.9%,6.6%,-.043,-17.7%,-10.9%,-.060,20.8%,6.8%,10.6%,-4.6%,-7.8%,63.7%,1.2%,-2.8%,-7.6%
1999-00,NBA,DET,,2.2%,0.3%,-0.9%,,82,64.6%,83.4%,78.6%,+.012,77.0%,80.1%,-.006,84.5%,78.2%,+.016,105.9%,95.3%,+.040,51.6%,74.1%,67.3%,69.2%,49.8%,31.2%,63.0%,76.6%,87.8%
1998-99,NBA,DET,,1.8%,-0.1%,0.9%,,50,-39.6%,-42.0%,-41.7%,-.002,-15.4%,-27.6%,+.053,-45.0%,-44.1%,-.008,-44.2%,-43.9%,-.004,-42.0%,-39.6%,-40.4%,-36.8%,-34.5%,-39.5%,-34.1%,-36.9%,-41.5%
1997-98,NBA,DET,,-3.5%,0.5%,1.4%,,82,0.6%,1.2%,4.6%,-.015,-49.7%,-37.4%,-.076,14.4%,18.3%,-.016,14.6%,14.7%,-.001,21.7%,2.0%,7.4%,2.8%,7.3%,21.6%,15.1%,9.3%,-0.0%
1996-97,NBA,DET,,5.2%,-0.5%,-0.9%,,82,0.0%,0.6%,-0.4%,+.005,6.8%,11.0%,-.015,-0.9%,-3.7%,+.014,-10.3%,-9.6%,-.006,-2.9%,-6.1%,-5.2%,-3.5%,24.9%,-19.6%,-14.3%,-15.4%,-1.3%
1995-96,NBA,DET,,-0.4%,0.1%,-1.4%,,82,0.5%,-8.2%,-7.7%,-.002,10.3%,-3.3%,+.050,-11.7%,-8.9%,-.015,15.1%,13.7%,+.010,-7.7%,10.7%,5.1%,-14.0%,-28.2%,-16.2%,-7.8%,-9.2%,-2.9%
