Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
25,Almoez Ali,FW,qa Qatar,25,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Alisson,GK,br Brazil,29,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
27,Joe Allen,MF,wls Wales,32,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15,Matches
28,Thiago Almada,MF,ar Argentina,21,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,3.16,3.16,0.00,3.16,Matches
29,Roberto Alvarado,FW,mx Mexico,23,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Edson Álvarez,MF,mx Mexico,24,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches
31,Julián Álvarez,FW,ar Argentina,22,1.eng Manchester City,2000,7,5,464,5.2,4,0,4,4,0,0,0,0,2.6,2.6,0.1,2.7,13,5,22,0.78,0.00,0.78,0.78,0.78,0.51,0.02,0.53,0.51,0.53,Matches
32,Kevin Álvarez,DF,mx Mexico,23,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
33,Dani Alves,DF,br Brazil,39,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,4,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
34,Selim Amallah,MF,ma Morocco,25,1.be Standard Liège,1996,7,4,409,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,4,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
35,Daniel Amartey,DF,gh Ghana,27,1.eng Leicester City,1994,3,3,251,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,0,9,1,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.10,0.08,0.10,Matches
36,Ethan Ampadu,"MF,DF",wls Wales,21,1.it Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,4,17,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
37,Sofyan Amrabat,MF,ma Morocco,25,1.it Fiorentina,1996,7,7,660,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,9,28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,3,2,182,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,13,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
39,Joachim Andersen,DF,dk Denmark,26,1.eng Crystal Palace,1996,3,3,270,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,7,24,0,0.00,0.33,0.33,0.00,0.33,0.03,0.08,0.11,0.03,0.11,Matches
40,Karim Ansarifard,"FW,MF",ir IR Iran,32,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.36,0.17,0.36,Matches
41,Antony,FW,br Brazil,22,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,8,7,20,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.22,0.15,0.22,Matches
42,Uriel Antuna,"FW,MF",mx Mexico,24,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,0,14,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
43,Néstor Araujo,DF,mx Mexico,30,1.mx América,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Takuma Asano,FW,jp Japan,27,1.de Bochum,1994,4,0,165,1.8,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,5,3,11,0.55,0.00,0.55,0.55,0.55,0.44,0.17,0.60,0.44,0.60,Matches
45,Marco Asensio,FW,es Spain,26,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.3,6,9,26,0.39,0.00,0.39,0.39,0.39,0.48,0.02,0.50,0.48,0.50,Matches
46,Ali Assadalla,MF,qa Qatar,29,1.qa Al Sadd,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
47,Lawrence Ati-Zigi,GK,gh Ghana,25,1.ch St. Gallen,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Nathaniel Atkinson,DF,au Australia,23,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Yahya Attiat Allah,DF,ma Morocco,27,1.ma Wydad AC,1995,6,2,318,3.5,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,7,9,12,0.00,0.28,0.28,0.00,0.28,0.07,0.37,0.44,0.07,0.44,Matches
50,André Ayew,"MF,FW",gh Ghana,32,1.qa Al Sadd,1989,3,3,198,2.2,1,0,1,1,0,1,1,0,1.1,0.4,0.0,0.4,1,1,5,0.45,0.00,0.45,0.45,0.45,0.52,0.00,0.52,0.16,0.16,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Jordan Ayew,FW,gh Ghana,30,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,4,3,6,0.00,0.66,0.66,0.00,0.66,0.03,0.32,0.36,0.03,0.36,Matches
52,Sardar Azmoun,FW,ir IR Iran,27,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,3,3,3,0.00,0.00,0.00,0.00,0.00,0.67,0.05,0.71,0.67,0.71,Matches
53,César Azpilicueta,DF,es Spain,32,1.eng Chelsea,1989,2,2,135,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,4,14,1,0.00,0.67,0.67,0.00,0.67,0.00,0.45,0.45,0.00,0.45,Matches
54,Srđan Babić,DF,rs Serbia,26,1.es Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Keanu Baccus,MF,au Australia,24,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
56,Alexander Bah,DF,dk Denmark,24,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,3,7,0.00,0.00,0.00,0.00,0.00,0.11,0.14,0.25,0.11,0.25,Matches
57,Hattan Bahebri,MF,sa Saudi Arabia,29,1.sa Al-Shabab,1992,2,0,4,0.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,0,1,0.00,22.50,22.50,0.00,22.50,0.00,14.37,14.37,0.00,14.37,Matches
58,Alejandro Balde,DF,es Spain,18,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5,12,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
59,Gareth Bale,FW,wls Wales,32,1.us LAFC,1989,3,3,225,2.5,1,0,1,0,1,1,1,0,0.8,0.0,0.2,0.2,1,4,12,0.40,0.00,0.40,0.00,0.00,0.32,0.08,0.41,0.01,0.09,Matches
60,Fodé Ballo-Touré,DF,sn Senegal,25,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Badr Banoun,DF,ma Morocco,28,1.qa Qatar SC,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Borna Barišić,DF,hr Croatia,29,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,3,2,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches
63,Meshaal Barsham,GK,qa Qatar,24,1.qa Al Sadd,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Christian Bassogog,MF,cm Cameroon,26,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Michy Batshuayi,FW,be Belgium,28,1.tr Fenerbahçe,1993,2,2,151,1.7,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.8,0,1,10,0.60,0.00,0.60,0.60,0.60,0.45,0.03,0.48,0.45,0.48,Matches
66,Jan Bednarek,DF,pl Poland,26,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Aziz Behich,DF,au Australia,31,1.sct Dundee United,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,6,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
68,Alireza Beiranvand,GK,ir IR Iran,29,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Jude Bellingham,MF,eng England,18,1.de Dortmund,2003,5,5,414,4.6,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,9,22,30,0.22,0.22,0.43,0.22,0.43,0.12,0.07,0.19,0.12,0.19,Matches
70,Anis Ben Slimane,MF,tn Tunisia,21,1.dk Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,11,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.12,0.07,0.12,Matches
71,Jewison Bennette,MF,cr Costa Rica,17,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
72,Rodrigo Bentancur,MF,uy Uruguay,24,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,3,14,2,0.00,0.00,0.00,0.00,0.00,0.26,0.06,0.32,0.26,0.32,Matches
73,Bartosz Bereszyński,DF,pl Poland,29,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Steven Berghuis,MF,nl Netherlands,30,1.nl Ajax,1991,4,1,200,2.2,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.3,6,15,11,0.00,0.45,0.45,0.00,0.45,0.13,0.04,0.17,0.13,0.17,Matches
75,Steven Bergwijn,FW,nl Netherlands,24,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,4,23,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Krystian Bielik,MF,pl Poland,24,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
77,Daley Blind,DF,nl Netherlands,32,1.nl Ajax,1990,5,5,423,4.7,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.8,2,18,20,0.21,0.21,0.43,0.21,0.43,0.08,0.10,0.18,0.08,0.18,Matches
78,Celso Borges,MF,cr Costa Rica,34,1.cr Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
79,Milan Borjan,GK,ca Canada,34,1.rs Red Star,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Karim Boudiaf,MF,qa Qatar,31,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Sofiane Boufal,FW,ma Morocco,28,1.fr Angers,1993,7,7,475,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,21,18,26,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
82,Yassine Bounou,GK,ma Morocco,31,1.es Sevilla,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Martin Braithwaite,"FW,MF",dk Denmark,31,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18,Matches
84,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.1,1,6,3,0.00,0.00,0.00,0.00,0.00,0.51,0.07,0.58,0.03,0.10,Matches
85,Gleison Bremer,DF,br Brazil,25,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
86,Dylan Bronn,DF,tn Tunisia,26,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
87,Marcelo Brozović,MF,hr Croatia,29,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,11,42,18,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,Matches
88,Tajon Buchanan,"MF,DF",ca Canada,23,1.be Club Brugge,1999,3,3,260,2.9,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.4,11,10,27,0.00,0.35,0.35,0.00,0.35,0.33,0.17,0.50,0.33,0.50,Matches
89,Ante Budimir,FW,hr Croatia,30,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,2,0.00,0.00,0.00,0.00,0.00,0.37,0.07,0.44,0.37,0.44,Matches
90,Osman Bukari,MF,gh Ghana,23,1.rs Red Star,1998,2,0,59,0.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,2,1,7,1.53,0.00,1.53,1.53,1.53,0.76,0.09,0.85,0.76,0.85,Matches
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
92,Firas Al-Buraikan,"MF,FW",sa Saudi Arabia,22,1.sa Al-Fateh,2000,3,3,268,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,11,0.00,0.34,0.34,0.00,0.34,0.04,0.02,0.06,0.04,0.06,Matches
93,Sergio Busquets,MF,es Spain,33,1.es Barcelona,1988,4,4,363,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,26,12,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
94,Martín Cáceres,DF,uy Uruguay,35,1.us LA Galaxy,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
95,Moisés Caicedo,MF,ec Ecuador,20,1.eng Brighton,2001,3,3,269,3.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,5,10,2,0.33,0.00,0.33,0.33,0.33,0.17,0.00,0.17,0.17,0.17,Matches
96,Francisco Calvo,DF,cr Costa Rica,29,1.tr Konyaspor,1992,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
97,Eduardo Camavinga,DF,fr France,19,1.es Real Madrid,2002,2,1,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
98,Joel Campbell,"FW,MF",cr Costa Rica,29,1.mx León,1992,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,12,11,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
99,João Cancelo,DF,pt Portugal,28,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,19,23,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
100,Agustín Canobbio,MF,uy Uruguay,23,1.br Ath Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
